Date_AEM,levfac,year,Quarter,date
196801,-0.6629,1968,1,1968Q1
196802,1.8512,1968,2,1968Q2
196803,13.3859,1968,3,1968Q3
196804,-6.3279,1968,4,1968Q4
196901,-9.6066,1969,1,1969Q1
196902,6.399,1969,2,1969Q2
196903,-7.5211,1969,3,1969Q3
196904,15.3801,1969,4,1969Q4
197001,9.2616,1970,1,1970Q1
197002,-4.0271,1970,2,1970Q2
197003,19.8744,1970,3,1970Q3
197004,11.8794,1970,4,1970Q4
197101,4.5441,1971,1,1971Q1
197102,-7.9961,1971,2,1971Q2
197103,-1.5688,1971,3,1971Q3
197104,9.0065,1971,4,1971Q4
197201,-0.5036,1972,1,1972Q1
197202,-1.2492,1972,2,1972Q2
197203,3.5581,1972,3,1972Q3
197204,12.2443,1972,4,1972Q4
197301,-22.1639,1973,1,1973Q1
197302,-15.1849,1973,2,1973Q2
197303,-12.8694,1973,3,1973Q3
197304,-1.8219,1973,4,1973Q4
197401,-10.6005,1974,1,1974Q1
197402,3.6294,1974,2,1974Q2
197403,-0.9294,1974,3,1974Q3
197404,-7.0433,1974,4,1974Q4
197501,8.56,1975,1,1975Q1
197502,2.364,1975,2,1975Q2
197503,-5.9064,1975,3,1975Q3
197504,6.7122,1975,4,1975Q4
197601,35.9422,1976,1,1976Q1
197602,7.6959,1976,2,1976Q2
197603,21.0627,1976,3,1976Q3
197604,2.8112,1976,4,1976Q4
197701,-0.166,1977,1,1977Q1
197702,10.3334,1977,2,1977Q2
197703,-2.9595,1977,3,1977Q3
197704,3.9264,1977,4,1977Q4
197801,17.0113,1978,1,1978Q1
197802,4.834,1978,2,1978Q2
197803,2.4597,1978,3,1978Q3
197804,-15.3241,1978,4,1978Q4
197901,7.8729,1979,1,1979Q1
197902,24.1876,1979,2,1979Q2
197903,-1.2603,1979,3,1979Q3
197904,-23.9861,1979,4,1979Q4
198001,24.1984,1980,1,1980Q1
198002,-3.0158,1980,2,1980Q2
198003,11.6581,1980,3,1980Q3
198004,-27.5435,1980,4,1980Q4
198101,23.6713,1981,1,1981Q1
198102,-5.9814,1981,2,1981Q2
198103,-1.7595,1981,3,1981Q3
198104,8.9834,1981,4,1981Q4
198201,9.6647,1982,1,1982Q1
198202,0.0304,1982,2,1982Q2
198203,3.8885,1982,3,1982Q3
198204,14.7743,1982,4,1982Q4
198301,-11.7277,1983,1,1983Q1
198302,2.5487,1983,2,1983Q2
198303,7.891,1983,3,1983Q3
198304,-2.1665,1983,4,1983Q4
198401,3.2559,1984,1,1984Q1
198402,-3.2502,1984,2,1984Q2
198403,13.3506,1984,3,1984Q3
198404,23.0279,1984,4,1984Q4
